Name,Language,Stars,Forks,Owner,Created At
all-in-one,PHP,9999,1051,nextcloud,2021-11-30T10:16:41Z
avbook,PHP,9995,2008,guyueyingmu,2017-02-19T05:09:55Z
akaunting,PHP,9910,2934,akaunting,2017-06-21T14:17:56Z
mautic,PHP,9904,3344,mautic,2013-08-19T00:36:28Z
invoiceninja,PHP,9844,2653,invoiceninja,2013-11-26T12:30:05Z
psysh,PHP,9831,318,bobthecow,2012-06-04T17:15:35Z
console,PHP,9812,266,symfony,2011-02-22T18:00:31Z
google-api-php-client,PHP,9794,3551,googleapis,2013-08-16T19:48:39Z
dbal,PHP,9701,1375,doctrine,2010-05-20T17:01:42Z
kanboard,PHP,9668,1965,kanboard,2014-01-25T19:58:30Z
swiftmailer,PHP,9451,852,swiftmailer,2008-12-19T08:31:03Z
ReflectionDocBlock,PHP,9384,136,phpDocumentor,2012-04-06T17:17:37Z
api,PHP,9353,1269,dingo,2014-04-11T12:31:18Z
Heimdall,PHP,9228,611,linuxserver,2018-01-26T12:04:05Z
Goutte,PHP,9201,986,FriendsOfPHP,2010-04-21T19:21:54Z
TypeResolver,PHP,9181,51,phpDocumentor,2015-06-10T19:05:30Z
api-platform,PHP,9157,974,api-platform,2015-03-06T21:46:05Z
PrestaShop,PHP,9114,5050,PrestaShop,2012-11-19T16:41:31Z
reactphp,PHP,9091,715,reactphp,2012-05-10T18:00:00Z
ReflectionCommon,PHP,9059,21,phpDocumentor,2015-05-31T09:52:59Z
rss-bridge,PHP,9027,1219,RSS-Bridge,2013-08-06T21:55:13Z
